Mwaghavul,pl,PoS,IPA,Gloss,Examples
cèlpèt,,a.,ffèlpèt,restless,wuri aase cèlpèt He is restless
cèlpèt,,id.,ffèlpèt,restlessly,wuri mwaan aase cèlpèt he moves about restlessly
cèlpèt mbut ndin,,a.p.,"ffèlpèt ""din mbut","describes S.O. without manners, who takes no heed of guests",lit. 'restless without stomach'. Mat ni a cèlpèt ndin mbut The woman is mannerless before guests
сер,,V.a.,Гер,to do s.t. earlier; to act before s.t. happens); to do s.t. before it is too late,cep sak maar to start farming early. cf. caan
cep di,,v.p.,yfεp di,to do s.t. earlier; to act before s.t. happens); to do s.t. before it is too late,Mu cep di Let's do it early before s.t. happens. cf. caan di
cep nung,,n.p.,tfεp nūŋ,short season variety of crop,Gwar ni kop a cep nung The man planted a short season cultivar
cèré,,n,ffèré,roasted on sticks; meat suya; kebab,Ba ri ki shaghal mpèe seet cèré kas He has no money to buy suya. cf. kam Iwaa
cét,,n,ifet,roof,Cét kì lu ni men zam The roofing of the house is very beautiful
cèt,,V,ffεt,to cook,Yi cèt gwom mmun nkyen! Quickly cook food for us!
cèt,,v.n,ffèt,cooked food,Yi swap cèt ni Share the food
cèt,,n,ffèt,trouble; problem; difficulty,Mee cèt 'e! What a trouble!
cèt bìsh,,v.p,ffèt bif,to cook food for yourself other than the one cooked for the family as a whole,live Since Mwaghavul communally this is viewed badly. Làa ni pu cèt bìsh The child is cooking for himself only
cèt bìsh,,n.p,ffèt bif,cooking food for yourself other than the one cooked for the family as a whole,Ba cèt bìsh ret ngulu kas Cooking exclusively for oneself is not good for the head of a household to do
cèt kurti,,v.p,ffèt kúrtí,to smelt (iron),"Gyet mo ki cèt kurti nyil Mwaghavul In the past, iron was smelted in Mwaghavul land"
cet teer,,n.p,ffèt tēr,act of cooking certain types of food overnight,"This refers to foods such as kwaakil (local beans) and milom (cocoyam). If cocoyam is not properly cooked, it will irritate the throat when it is being eaten. Kwaakil a cèt teer Local beans is overnight cooking"
cèt wan,,v.p,tết wān,"to mix mud, clay and water preparatory to moulding blocks",Ba mat mo ki cét wan kas Women do not prepare mud
cèt yen,,n.p,ffèt yen,ritual practice that immunises infants against killer diseases,Dikaam ni ri a ngu cèt yen The old man is a child immunization ritualist
cetcet,,V,ffettfet,to cook,Ra pu cetcet She is cooking
cibel,,n,tfibél,plague locust,Schistocerca gregaria Ba cibel a shaar kì ngumáar kas The locust is no friend to the farmer
ciɓen,,n,tfibēn,nail,both fingers and toes. Ciben fwagha ni gyar shwal Your nail is too long
cibet,,V,tfibēt,to coil up (as a snake); to roll up (as a mat),A cibet tibarna ni Roll up the mat
cicet,,V,ffiffèt,to cook,Ra pu cicet She is cooking. cf. cetcet
cicet,,n,ffiffet,cooking,Cicet Cooking challenging shwal is
cicin,,adv,fitfin,today,also cicinsi. Ra njì cicin She will come today
cicin,,n,fitfin,today,also cicinsi. Cicin ki kyes Today has ended
cicinsi,,adv,fitfinsi,today,Ra nji cicinsi She will come today. also cicin
cicinsi,,n,ffitfinsì,today,Cicinsi kì del Today has passed. also cicin
cicirak,,n,tfitfirák,shrimp; crayfish; prawn,Penaeus spp. Edible. Caught in rivers. Ba a gurum mo jir ki se cicirak kas It is not all people that eat shrimps. H. jaten lande
cicirep,,n,tfitfirέp tfitfirέk,wart,"also cícírék. Begins as a pimple, but becomes hard and gradually bigger. Ri ki cicirep nsar He has a wart on the hand"
cififaf,,id,yfífífáf,describes s.t. very dry,fii cífífáf be very dry
cíi,,V,yfíí,to stop; to refuse; to debar; to prevent; to prohibit; to deny; to say no,Mo daam ri be ri cíi He was stopped from going but he refused
cíi (nni),,v. (p.),"tfií ""nī","to be worse (condition, illness, behaviour, emotion, etc.)",Jeel kì mat ni sighit cii nni The woman's poverty has got worse
cìi,,n,,thigh; lap,Mat ni mang là ni a cìi The woman carried the child in her lap
cìi,,VOC,tfii,address to a child the same age as your child grandchild. or,"Considered a prelude developing to a friendly relationship. A wet ryang aa, cìi? Good afternoon, young friend"
ciikom,,V,yfííkōm,to refuse to run an errand,Làa diisì ciikom This child zam This child does not want to run errands at all
ciikom,,n,yfííkōm,refusal to run an errand,A kyeet ciikom diidang mmini kaa a lá a ndung sì ye? What sort of refusal to run errands is that as if you got it from the river (i.e. from water spirits)?
ciin,,n. P,tfiin,whisper,Wun pu sat a ciin diidang mini 'e? What are you whispering?
ciin,,n,,advice; counsel; suggestion,Wu cin ciin nshak 'Give advice each other' to
ciin,,n,yfin,lack; want; absence of s.t,Ciin sat zeen bish zam Lack of telling the truth is very bad
cìin,,n,ffiin,big pot,used for brewing beer or storing water. Nàá kì seet mee ciin diipoo Mother has bought a new pot
ciin màn,,n.p,tin màn,ignorance,Ciin màn a peenkoo Ignorance is darkness
ciin nighin,,n.p,tiin niyin,motherlessness,Used to describe a neglected child. Làa ni shwaajeel nkop ciin nighin The child suffered as a result of motherlessness
ciin pàn,,n.p,fin pàn,of understanding; senselessness; thoughtlessnes lack,Mini a ciin pàn That's thoughtlessness
ciin saam,,n.p,fun sààm,insomnia; sleeplessness,Ciin saam a muut Sleeplessness is a disease
ciipoo,,v.p,fiípòò,to deny; to be in denial,Ri ciipoo He denied it
ciishik,,V,tfiífik,to be naughty; to be delinquent; to be stubborn,lit. 'refuse issue'. Taji yi ciishik kas Don't be stubborn
ciishik,,n,yfiífik,naughtiness; delinquency; stubbornness,lit. 'refuse issue' Pàr yi ndee mpèe ciishik One day you will perish because of stubbornness
ciiwurang,,n,ffííwúráŋ,dwarf person; diminutive person; midget,lit. 'refuse to grow' Ri a ciiwurang He is a midget
cijai,,n,tfidzàì,tendon; sinew,Làa nkaa cijai ki nung kilak kas A wound tendon on the does not heal up easily
cijéng,,n,tfidzéŋ,potsherd; piece of broken pot,"These sherds were used in a technique to revive cold or unappetising food and drink. Elders used to put a piece in the fire until it was red hot. It would then be dropped inside a dish containing leftover draw soup or a pot of local beer. The piece would warm up the draw soup without the soup losing its flavour, while the beer would regain its attractions. Mo wong puk ni a shi cijéng The soup was warmed with potsherds"
cijèng,,n,tfidzèn,heel of the foot,Cijèng firi ni bak aase The heel of his foot has cracked badly
cikarai,,n,Ifíkárái,fonio cultivar,< Hausa. Also kusuk kilaknung. Introduced by the Fyem people. Cikarai ni a cep nung Cikarai is a short season variety. cf. kusuk
cíkidék,,n,tfíkíděk,game where children hop on one leg,"Jep mo nkaa tan cíkídék Children are doing the one- leg-hopping play. also nkálang, (met) shíi nkálang"
cilem,,n,tfilēm,spirit double,animal cf. nwòo cilem. Individuals may have counterparts in the bush and the health or sickness of the animal mirrors that of the human being and vice versa. Pak nwòo mo a cilem Some snakes are spirit doubles
cilem,,n,tfilēm,fever,It begins with a high fever and then cold sores form on the lips. Cilem cin ri He has caught a fever
cileng,,n,tfiléŋ,leftover drink,Cileng ni dwang aase gwàngryàghàs The leftover drink is too sour
cileng,,n,gfiléŋ,mashed sweet potato left over to dry,Ba bilon ki se cileng kas A toothless person doesn't eat dried sweet potato mash
cim,,n,ffim,land monitor,"Varanus exanthematicus damo. Hausa Mwaghavul consider it as one of the most foolish animals, as it closes its eyes when it encounters a person believing that invisible. is This enters into a metaphor for foolishness. Wuri a rang kaa cim sì ye? lit. 'he how like monitor?' i.e. Why is he as foolish as a monitor lizard?"
cin,,V,yfin,to be older than s.o. by a period specified,ra cin bit vul nri 'she gave year two to-him' she is older than him by two years
cin cìn,,V. V,tfin yfin,to give; to offer; to present to do; to act,Gwar ni cin shaghal mmat firi The man gave money to his wife Ba an kin cìn membii aku kas I haven't anything yet done
cìn aasi,,v.p,ffin āāsi,to do likewise,Ra cìn aasi She did likewise
cin ɓwoon,,v.p,"ffin b""55n",to be ahead; to surpass; to exceed,Delvit cín ɓwoon mPuttaa nsushii Delvit runs faster than Puttaa
cin diides,,v.p,tfin dides,to respect,Mu cin diides nyemnan mo We should respect elders
cìn diiret,,v.p,ffin durēt,to do good,Mat ni ra kì cin diiret mmun The woman has done good to us
cìn dik,,v.p,ffin dik,to marry; to wed (general term),Gwar ni ki cìn dik The man is married
cin hop,,v.p,tfin hóp,to loan out money etc,A nook cin hop buu-buu Stop loaning out money anyhow
cin ji,,v.p,tin đại,to pass s.t. towards you,A cin ji ngan yaksi Pass it to me now
còn kist,,v.p,ffin kísi,to do like that,Wagha cin kisí zak You should do it like that too
còn kisł,,v.p,ffin kísi,to do like this,Wu cin kisì You should do like this
cin sak,cin suk,v.p,ffin sāk,to offer yourself; volunteer (to a man),A cin sak mpèe ɓam yil fwagha Offer yourself to help your community (said to a male)
cin shik,cin suk,v.p,ffin sāk,to offer yourself; volunteer (to a woman),Yi cin shik mpèe ɓam yil fii Offer yourself to help your community (said to a female)
cin so,,v.p,ffin sò,to pass s.t. away from you,A cin so nra yaksi Pass it to her now
còn tan,,v.p,ffin tàn,to play,Jep mo pu cin tan Children are playing
cin... x,,V,fin....x,to offer,"Used with reflexive pronoun, e.g. cin 'to offer to san myself volunteer"
cínbuu,,n,ffínbùù,bonus,Diisì a cínbuu This is a bonus
cìnbuu,,n,ffinbùù,"doing s.t. for doing sake, not necessarily to succeed",Máar a cìnbuu Farming is an activity done without the assurance of success
cinyil,,V,ffínyíl,to remake ridges when the plant has fully grown instead of formally weeding the farm,Mo pe cinyil nshwȧa ni They are remaking the ridges of the maize crop. cf. leyil
cinyil,,n,tfinyíl,remaking ridges when the plant has fully grown instead of formally weeding the farm,Cinyil shwal met nsakmaar Remaking ridges is more challenging than cultivating land. cf. leyil
cinzeen,,V,ffinzéén,to trust; to believe in,Taji a cinzeen ngurum kas Don't trust man
cinzeen,,n,tfinzéén,trust; belief; faith,Cinzeen fuu ni a nne ye? Where is your faith?
cip,,n,tfip,trap,Cip a mpèe ngu ribetmbii The trap is for the greedy
Cip,,p.n,tfip,area in Pankshin which is home to the Miship people,officially spelt Chip. Cip ni kus ki yil Mupun mo Chip is close to Mupun land
cipes di,,conj,fipēs di,without; unless,An ji cipes di an mang shaghal pán 'I come without I take money take along' i.e. I didn't come with any money
cirang,,int,yfirǎn,why; how was it that?,"cf. mpèe me a ... ye, rang. Cirang dáng ri SO ye? Why did he go?"
cire,,n,ffíré,"small, dry bundle of firewood for immediate use","An armful of firewood or twigs was made into a bundle by women when firewood. fetching The small bundle was usually dry, ready for immediate use, while bundles were dried bigger for later. Ba yoghom ni ki cire kas The firewood has no dry armful"
cirem,,n,tfīrēm,seed; seedling; sprout,Cirem ni a diiret The seed is good. cf. kyeet
Civir,,p.n,tfivir,Kwanka people,community near Kwanka where the Mwaghavul dead strip off their burial cloth before proceeding to the land of the dead. Mo naa ngumumuut ni nCivir The dead man was seen at Civir
cighir,,adv,yiyir,soon; quickly; rapidly,mo cighir sak maar ni kyes kwàak they quickly finished in the farm kwàák
cighir,,V,yiyir,to turn back; to change; to turn; to exchange; to be behind,A cighir nkoghop diisi Turn to the other side
cighir ki,,v.p,yfiyir ki,to make s.o. insane through magical means; to madden,Mo cighir ki ri a pèe dak He was turned mad at his place of work
cighir kiɓwoon ki,,v.p,yfiyir W! ki,to turn one's back to others; to neglect; abandon to,Taji a cighir ki kiɓwoon nri kas Don't turn your back on him
cighir nighin,-,v.p,tfiyir nīgīn,to be contaminated by poor varieties (crops),Cirem fina ni kì cighir nighin My seeds have been contaminated by poor varieties. cf. kusuk
cighir yíngying,,v.p,tfiyir yinyin,to whirl around; to whiz around,Jep ni mo pu cighir yingying The children are whirling around. cf. nwùwòr
cighir yingying,,n.p,tfiyir yinyin,whirling around,Cighir yingying a tan jep Whirling around is a childish play. also nwùwòr
coghol,,n,tfbyól,act of spying,Das ni mo fes jì a mpèe coghol kyap The people came for nothing but spying
coi,,n. P,tföi,stubborn delinquent child or,is Làa ni a coi The child delinquent a
cói-cói,,id,tfoi toi,sound of frying s.t. in oil,wura nkaa sughur Iwaa mbut mwoor cói-cói she is frying the meat in oil có cói
cokali,,n,tfókàlī,spoon,< H. Jep yicinsi mo ki pèt làa pwoon a cokali The children of today call a spoon cokali
còm,,n,ffom,grass-cutter,Thryonomys swinderianus Doghon mu tu mee còm a yil Yesterday we killed a grass-cutter at the countryside
còm goghot,,n.p,from goyot,rock hyrax; dassie; rock rabbit,Ba còm goghot mo kudi mpee diisì kas Rock rabbits are no longer found here Procavia capensis
cubwek cùghùr,,id. n,tfúɓwék ffùyùr,brim (liquid) describes being full to the molars and premolars,gām cúɓwék be filled to capacity Cùghùr firi mo kì lyoon kyes His molars and premolars have all fallen out
cuk,,n,tfùk,knife,A can shi cuk Cut it with a knife
cuk ɓwoon,,n.p,"ffùk b""óón","knife, all purpose",Usually tied to the waist. A cuk bwoon diipoo It is a new waist knife
cuk káa,,n.p,ffùk káá,razor; shaving knife,Cuk káa ni kì tep The razor is broken
cuk kusuk,,n.p,ffùk kúsúk,knife for harvesting fonio,Ba cuk kusuk ni mo kaat nyem ďak ni mo kas The fonio harvest knives did not go round the labourers
cuk shit,,n.p,tfük fit,knife used for cutting grass,Daar an nso seet cuk shit nlutuk Tomorrow I shall buy a grass knife
cukkur,,n,ffùk kúr,grass with sharp edges,found in riverine areas. Cukkur se met ncuk The cukkur grass is sharper than a knife
cùrèt,,id,ffùrèt,sound of s.o. sucking their teeth in annoyance,"ni láa nwura mɓut be wura dwas poo cùrèt she was angry and she sucked her teeth, cùrèt"
cut,cwat,V,ffùt,to hit; to beat; to strike,Ri cut ra nkipak He hit her on the cheek
cut cut (...) mang,,V. v.p,ifùt fùt màŋ,to strike a sounding iron to take or steal s.t. without being noticed,also nung Mat ni bwot cuk nyil ɓe mee làa jì cut mang The woman dropped a knife on the ground and a child took it without her notice
cut tughur,cwat túghúr,v.p,fut túyúr,to boast; to beat one's chest,A nook cut tughur Stop boasting
cutlung,cwatlung,V,"fütlúŋ, if""ātlún",to swim,lit. 'to beat swimming' Mu so ku mu cwatlung di Let's go and swim. also taalung
cutlung,cwatlung,n,"fùtlúŋ, if""ātlún",swimming,"Ba cutlung a cut shak kas Swimming is not striking each other. also taalung, lúng"
cwáng,,n,"y""án",grass sp,used in kùm. Cwáng ni kì fii The cwáng grass has dried up
cwàng,,n,Wy,spear made from bamboo,first spear to be used in warfare or hunting expedition. Mo tu lwaa ni a shi cwàng They killed the animal with a bamboo spear. cf. kòp
cwat,,V,"y""āt",to hit (pl.),plural of cut. Mo kì cwat páat ni They have hit down the Canarium fruit
cwèet,,id,W,describes passing watery excrement at high pressure,also wudedet. doo dyes cweet eject liquid stool
cwei-cwei,,id,gégé,"describes being wise, clever, cunning",Aak seen cwei- cwei The ground squirrel is very clever
cwel,,excl,yvel,describes missing a target narrowly,Cwel! Dee lee ku ri ki yàa lwaa ni What a near miss! He almost caught the animal
cwel,,adv,yfél,describes missing a target narrowly,Pas ni del cwel The arrow missed it narrowly
cwét,,V,ffwét,to cane s.o. in a mild way,Gwar ni cwét làa ni ki kam The man caned the child mildly. cf. gulang
cwét,,n,Ifwét,light drizzling rain,experienced around July and August. Ba cwét ni nɗom so wàa mmun kas The light drizzle will not allow us to go home
cwèt,,adv,ywèt,fast; quickly; rapidly,a so cwèt ku a foghot mo di Go quickly to see how they are doing following the accident or illness
cwèt-cwèt,,id,ffèt yet,describes walking quickly,"a mwaan mmun cwèt-cwèt lit. ""walk quickly for us' i.e. Hurry up!"
Da,,pref,dǎ,informal respect prefix applied to the name of a male elder,i.e. Fii'an to Da Fii'an
Daa,,pref,dàá,formal respect prefix applied to the name of a male elder,"Mwaanlee, Daa Mwaanzughum Welcome, Mr Mwaanzughum"
daa,,n,dàá,father; lord,Daa waa nlutuk Father is coming back from the market. cf. puun
dàa,,pref,dàà,respect prefix applied to the name of a younger man,Dàamwaan shaar a fina Dàamwaan is my friend
daa ki daam,,n.p,dàá kí dààm,marabout stork,lit. 'father has bag'. Leptopilos crumeniferus Daa ki daam ni kì yaghal del so The marabout stork has flown away. H. bábbá dá jakáá
Daa Naan,,n.p,dàá nāān,God,"The male respect prefix was added by missionaries to contrast with Nàá Naan, the original female God of the Mwaghavul. A Daa Naan le yil ni It was God who created the universe"
dàa ryee Naan,nyem ryee Naan,n.p,dàà ryέć nāān,things man who does reluctantly hesitation or with,lit. 'man who stares sceptically at God'. Taji wu lop daa ryee Naan si kas Don't send that hesitant man
daafwan,,n,dààfan,hare; rabbit,"Lepus crawshayi. The respect prefix is applied to the root, as the hare is a character in folktales. The hare is a symbol for cleverness, thus you can say laa diisì a daafwan this child is a hare, meaning this child is very clever"
daakaalong,,n,dàà kāālāŋ,villain; hero; protagonist,A daakaalong jì ɓam mun It was the hero who came and saved us
daakumboot,,n,dààkúmbòòt,air bubbles when water boils,Àm ni a daakumboot caghat The water is full of air bubbles. also pumbulek
daalungkat,,n,dààlúŋkāt,somersault performed by children while swimming,Ri man daalungkat zam He is very good at somersault during swimming. also dilungkat and dulungkat
daam,,V,dààm,to debar; to prevent; to hamper; to turn back,Ciin ɓalkaa ki daam sekyeen Lack of unity hampers progress
daam,,n,dààm,bag; container; purse,Ra zok shaghal ni a ndighin daam fira She hid the money inside her bag
daam Mwaanle,,n.p,dààm mwàánlè,small purse worn women to store money by,"They usually wear it on top of their underwear but covered by their main wrappers. It is believed that women trust the bag more than they trust themselves. The only time they remove it is when having their bath. (lalita-Hausa) (Mwaanle was a tailor who sewed the purses and also hawked them on market days, hence the name 'Mwaanle's bag'). Daam Mwaanle fina ni a nfii My waist purse 1S empty"
daam shaghal,,n.p,dààm fàyàl,bag of money,Also applied to £100 in old currency. Ri seet biring ni a nkaa daam shàghàl vul He bought the horse for £200
daampee,,V,dààmpē,to disturb s.o.; to pester,A nook daampee nlàa ni Stop disturbing the child
daapyaa naaning,,n,dààpáá nááníŋ,cattle egret,Daapyaa naaning ki mee lwàa kyéen kas The cattle egret has no reasonable quantity of meat. also kwee pyaa. Ardeola ibis H. bâlbéélàà
daar,,adv,dààr,tomorrow,"Daar an nso an buluk mee dak a yil Tomorrow I shall be going to the countryside to do some minor work. also dadaar, didaar"
daas,,n,dàás,brave man,this can have a singulative ngudaas. Gwar ni a daas azeen The man is a brave man indeed
daas-dàas,,n,dàás dáàs,true men; determined desperate,can have a negative sense as 'stubborn' Mu so nunu aku nyàk daas-dàas ni mo ji wul di Let's leave before the true men arrive soon
daaslek,,n,dààslèk,soldier,Puun fira a daaslek Her father is a soldier. also shiitoghon
daatiis,,n,dààtììs,Senegal coucal,lit. 'man of tiis [tree sp.]' Centropus senegalensis. Daatiis ki Iwaa met ndaapyaa naaning The Senegal coucal has more meat than the cattle egret. Also tiis. H. rágón mázáá
dadaar,,adv,dàdáár,tomorrow,Shaar fina njì dadaar My friend will tomorrow come
daghar,,V,dāyār,to limp; to walk slowly because of old age,Ri shoor shii nkaa nghik be ri daghar so wàa He hit his foot against a stone and limped home
dàghàr,,v.n,dàyàn,limping; walking slowly because of old age,Ba dàghàr a jwat kas Limping is not a fashion
dai,,id,dài,"sound of a big bundle of millet or any heavy item, falling onto the ground from a standing position","wuri táa vwet ɓwàghàt kàs ni si dai he dropped the bundle of millet onto the ground, dai"
dàk,,n,dàk,eating oval calabash used for,Dàk a daa diides Dàk is a large bowl
dàkàkàk,,n,dàkàkàk,African fish eagle,Haliaetus vocifer. Ba an kin kyam naa dàkàkàk kas I have never seen an African fish eagle. H. kwakware
Dakum,,p.n,dákùm,spirit which combats barrenness in women and impotence in men,Ba Dakum fira kì muut kas Her spirit of fertility is not dead
dakwal,,n,"dák""àl",fleece-like costume worn by velang dancers over singlets; fleece cape,Nyem kook ni mo jwal dakwal diipoo mo The dancers wore new fleece capes
dál,,V,dál,press s.t. esp. soil to particles,Wu nook dál máar ni Stop pressing down the soil particles
dàl,,V,dàl,to cover s.t. to keep it warm,Mo dàl laawur ni ku ni kilak kaa káa di The potatoes were covered SO they would sprout faster
dam,,v.n,dàm,poverty; lack; want; indigence,Dam neer ri cighirkaat He is surrounded by lack
dam,,V,dàm,to be poor; to lack,Ba mu dam kas 'NEG we be-poor NEG' We are not poor
dàm bùm,,id,dàm bùm,describes bringing more than required (of a liquid),Also jùmbùm. yak am dàmbùm fetch more water than required
damwesh,,n,"dàm"" : f","common name for all baby boys, before they are later given appropriate names",Damwesh ni pu cìn tàn The boy is playing
dan,,V,dān,to bend down; to stoop; to crouch; to squat,'e? Aá dan a rang Why are you crouching?
dàn,,n,dàn,plain between hills; valley,also nwàp
dan del,,n.p,dān dēl,"to stoop, crouch or squat so as to pass through an opening",Jep ni mo dan del nfung guu ni The children crouched and passed through the opening in the cactus hedge
dang,,n,dāŋ,tail,Ba gurum mo ki dang kas Humans have no tail
dang,,n. P,dāŋ,descendant,Mun a dang ki Adam We are descendants Adam of
dangning,,n,dàŋníŋ,cow-tail,Used for driving away flies and dancing during ceremonies. Mat ni cin kook shi dangning woman The danced with a cow-tail
dàngpighit,,n,dàn płyít,leg of a tripod stone that serves as the rear,"mish also tighiring. Depending on the size of the pot, the dàngpighit may be shifted in or out to support the pot. It is smaller than nghik tighiring. A we mang dàngpíghét ni 'e? Who took away the rear leg of the tripod?"
dangpyaa,,n,dāŋpáá,zorilla,lit. 'white tail' Ictonys striatus Ngukwat ni tu dangpyaa ni The hunter killed the zorilla
dangtughup,,n,dàn túyúp,tree sp,"like mahogany but with smaller leaves sometimes eaten raw, when sprouting reddish in colour. Mu tong pák nder dangtughup diisì Let's sit under this dangtughup tree"
dangvul,,n,dāŋvūl,earwig; 'skirt and blouse',"Dermaptera. Lives in damp places including clothes. Dangvul ni mo dyong mbut nwáar ni The earwigs dropped into the corn drink. cf. ndanggaghar, dighir kwee"
dàpen,,n,dàpēn,kingfisher spp,Halcyon spp. cìì-na-wùya. H. Dàpen ni sham dee di 'àm ni The dàpen kingfisher perished in the water
dás,,n,dás,people (male),Usually occurs in the indefinite pronoun mee dás mó some men
dàs dau,I mo,V. n,dàs dau,to pack closely together plant sp,Mo dàs lee ni mo sham ndighin daam ni They closely packed the clothes into the bag similar to aloe vera Used to treat snake- bite. Dau ni a yen The local aloe vera has medicinal value
dawufil,mo-,n,dàwúfil,wandering jew; tropical spiderwort,Commelina benghalensis Ba dawufil ki muut kilak kas The wandering jew does not die easily
deel,,n,dēēl,cock; rooster,Deel taaɗoo The cock crowed
déel,,n,déźl,"top; zenith; summit (tree, mountain)",Déel kì jwak ni le kiirmuut summit of the The mountain is frightening
déel,,n,"déél, décl",escape hole for bush rats,Kuzum ni kàa put ndighin déel ku ni làghàm di The bush rat came out through the escape hole and escaped
deelele gook,,n,dèèlélé gòòk,popped corn,Deelele gook ni a mbiise ki jep mo Popped corn is children's food
deetuu,,n,dèètúú,"trumpet used to herald the arrival of the chief, emir, etc",tàa deetuu Mo pu nkipang ki mishkagham The herald trumpet is being played at the palace
deghet,,n,dèyèt,calf,nan Deghet a caghat The calf is full of flesh
den,,V,dèn,to deny s.t. to s.o,Taji a den jep ni mo nwáar ni kas Don't deny the children the corn drink
dep,,n,dep,black plum; tree sp,Vitex doniana. Mo ki se kom kì dep The black plum leaves are edible. H. dinya
der,,n,dēr,clan; lineage,cf. saghan Mun a der diimindong ki nyem ɓin dung mo We are the same clan as the people across the stream
der,,n,der,lower part of s.t,Der ni tal The lower part is hot
dèr,,dèr,"space beside or under s.t. that has been specified (hill, construction, installation, etc.)",Dèr guus foot of a hill; dèr ting space beside a tree; dèr yoghom space beside bundles of firewood; dèr lu space beside a house; dèr kutar under a space bridge,
dèr nyim,,"der ""yìm",woman,considered as weaker gender. Ba dèr nyim mini mak ɓák mun kas! That woman is not important to insult us! enough,
derkyes,,dērk Es,s.o. whose blood relations have all died,Ri a derkyes He is a man without surviving relatives,
derpee,,dèrpēē,"space beside or under s.t. (hill, construction, installation, etc.)","Derpee ni wong zam The space beside the object is very warm (hill, rock, building, fence, etc.)",
des,,dès,to groan; to grunt,during excretion or childbirth. Ri des akudang dyes ni sham He groaned before the faeces came out. cf. gwan,
des,,dès,to try hard SO as to accomplish a difficult task; to endure a difficult situation,Mu des ku mu kyes di Let's try hard to complete it,
deskagham,,dèskáɣám,traditional leader within the hierarchy; sub-chief; royalty,also plural of mishkagham. Gwar ni a deskagham nder kì mishkagham Mwaghavul The man is a sub-chief under the paramount ruler of the Mwaghavul,
diip,,dííp,to beat s.o. without mercy to prevent that person from raising their head,Ri diip làa ciishik ni He beat the recalcitrant child down,
diip,,dííp,to extinguish flames by lightly hitting them with plant leaves,Wu nook diip wus ni; wu pit shi àm Stop hitting the flame with leaves; extinguish it with water,
dik,,dik,to instigate; to trick; to lure; to deceive by flattery; to spoil s.o. by being too kind to them,mostly applied to children. Taji mu dik jep mo kas We should not be too kind to children,
ding,,diŋ Sepp,large crowd; mob,Ding gurum mo dee mpuus mindong A large number of people perished in one day,
diyil,,diyíl,rat sp,lives in large underground burrows. Ba diyil ki put mpuus kas The diyil rat does not come during the day out,
di,,dì,masculine prefix placed before a body part to emphasise a peculiar oversized shape,"e.g. dikáa (one with big head), dibut (one with big stomach), dikom (one with large ears)",
di,,dì,form of dàa; respect prefix for males,Ri mang shin a di shaghàl He takes himself as a man of cash. cf. nì,
di ribetmbii,nyem ribetmbii,dì rìbèt™bìì,greedy man; avaricious man,Ri a di riɓetmbii He is a greedy man,
diben,,díbén,a little; in small quantities or portions,ri shwaa àm diben 'he drank water a little',
diben,,díбén,small; little; tiny,àm ni a diben 'water the is little',
didaar,,dìdáár,tomorrow,An mbaa wàa didaar I shall return home tomorrow. cf. daar,
Difiri,,dìfírí,Mwaghavul clan,Ri a Difiri He is a Difiri man. Bijer cf,
dighìrìk- dighirik,,diyirik diyirik,"describes how a lazy person walks; describes how s.o. walks with heavy feet, shoes",seer si wurií mwaan kàa si dighirik-dighirik See that lazy man walking dighirik- dighirik,
dighish- dìghìsh,,diyish diyish,sound of flapping clothes when s.o. is walking,ngutar wuri jwal nighìn lée mo nkaa shin đáng wuri mwàan madman wore dighish-dighish the many clothes and as he walked they made the sound dighish-dighish,
digín,,digín,man with fat cheeks,Corresponds to nigin for women. Ri a digín He is a man with fat cheeks,
digiri,,digiri,degree,< English. Reep ni ra ki digiri The young woman has a degree,
digyok,nyem gyok,digyók,person who moves about from place to place; promiscuous person,Dyem ni a digyok The young man is a person who wanders about. cf. nigyok,
dijet,,didzēt,man with a protruding occiput,nijet for women. Corresponds to a Ri a dijet He is a man with protruding occiput,
dikaam,,dikāām,respect term for an elderly man; grandfather; father- in-law,Also a reciprocal kin term used between a man and his daughter-in- law. A dikaam funu ndiisi This is our grandfather,
Dikiɓin,,dikībīn,area in Kerang district of Mangu LGA,Dikiɓin ni kus ki Per Dikibin is close to Per,
dikom,,dikōm,person with wide ears,used for men. Corresponds to nikom for women. Ri a dikom He is a man with long ears,
Dikoo,,dìkóó,Mwaghavul clan,Dikoo ni mo ki ji wul The Dikoo people have arrived. cf. Bijer,
dikyet,,dik ét,frantically; energetically intensely,Ngukwat ni tu mbwoor ni dikyet The hunter killed the lion by frantic efforts,
dileet,,dìléét,crown; topmost part of a tree,Kaar ni kàa tong a dileet kì ting The monkey climbed up and sat at the topmost part of the tree,
dilungkat,,dilúŋkāt,somersault performed by children while swimming,Ri man dilungkat zam He is very good at somersault during swimming. also dulungkat and daalungkat,
dingyil,,dinyíl,planet,"Ba gurum mo mmak tong nki dingyil mo jir kas Human beings cannot live on all planets. cf. gìtyil, kwangyil, làayil, songyil, tukyil, yilser",
dipyaa,,dìpyáá,white horse,dipyaa diisi su zam This white horse is very fast,
diram,,diràm,bark; scales,Diram a yen The bark of a tree is medicinal,
diram yoghom,,diràm yóɣóm,bark of tree cut as fuel,Diram yoghom diisi ni yàa wus zam The bark of firewood is this very combustible,
direng,,dirèŋ,back of the knee,Mat ni pwan direng fira mo The woman stretched out the back of her knees,
dishoop,,dishōōp,hairy; hirsute person,Gwar ni a dishoop The man is a hirsute person,
